stop_id,stop_name,stop_lat,stop_lon,ligne
BYGA,Gare de Bouaye,47.1384035,-1.68067539,"[{'numLigne': '88'}, {'numLigne': '98'}]"
BYTO,Bouaye Coteaux,47.16477019,-1.67882328,[{'numLigne': '88'}]
BZAR,Buzardières,47.20677231,-1.65990192,"[{'numLigne': '50'}, {'numLigne': '91'}, {'numLigne': 'NBI'}]"
CABR,Cabrol,47.20328093,-1.58853732,"[{'numLigne': '10'}, {'numLigne': '81'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}]"
CACE,Centre de Carquefou,47.29710622,-1.49005046,"[{'numLigne': '75'}, {'numLigne': '85'}, {'numLigne': '95'}, {'numLigne': 'E5'}]"
CADO,Cadoire,47.25673385,-1.4880866,"[{'numLigne': '107'}, {'numLigne': '117'}, {'numLigne': '127'}, {'numLigne': '147'}, {'numLigne': '157'}, {'numLigne': '80'}, {'numLigne': '87'}]"
CAGE,Chalonges,47.27613635,-1.42939758,"[{'numLigne': '127'}, {'numLigne': '137'}]"
CAHL,Charlière,47.32102226,-1.55057037,[{'numLigne': 'LCN'}]
CAIO,Caillou Blanc,47.29867619,-1.58548503,[{'numLigne': 'LCO'}]
CALI,Californie,47.19124301,-1.58444378,"[{'numLigne': '30'}, {'numLigne': '36'}]"
CANC,Canclaux,47.2138367,-1.57477131,"[{'numLigne': '11'}, {'numLigne': '23'}, {'numLigne': 'C1'}, {'numLigne': 'C3'}]"
CAPE,Capellia,47.27971448,-1.5549768,"[{'numLigne': '116'}, {'numLigne': '86'}]"
CARQ,Carquefou,47.30365167,-1.48548819,"[{'numLigne': '75'}, {'numLigne': '85'}, {'numLigne': '95'}, {'numLigne': 'E5'}]"
CAST,Castorama,47.25889176,-1.50715847,[{'numLigne': '77'}]
CATI,Cartier,47.26816466,-1.45556222,"[{'numLigne': '117'}, {'numLigne': '135'}, {'numLigne': '157'}, {'numLigne': '87'}]"
CATV,CAT Vertonne,47.18416147,-1.48210907,[{'numLigne': '142'}]
CAUX,Château D'Aux,47.18536593,-1.67455481,"[{'numLigne': '138'}, {'numLigne': '158'}, {'numLigne': '78'}, {'numLigne': '88'}, {'numLigne': 'E8'}]"
CBAC,Bac de Couëron,47.20598337,-1.75170597,"[{'numLigne': '131'}, {'numLigne': '71'}]"
CBEA,Charbonneau,47.30068698,-1.49070416,"[{'numLigne': '75'}, {'numLigne': '85'}, {'numLigne': '95'}, {'numLigne': 'E5'}]"
CBGE,Chapeau Berger,47.17100393,-1.46875604,"[{'numLigne': '102'}, {'numLigne': '112'}, {'numLigne': '122'}, {'numLigne': '192'}, {'numLigne': '28'}, {'numLigne': '42'}, {'numLigne': '60'}, {'numLigne': '97'}, {'numLigne': 'E4'}]"
CBIN,Corbinerie,47.16161915,-1.54216964,"[{'numLigne': '104'}, {'numLigne': 'C4'}]"
CBLE,Chemin Bleu,47.17822772,-1.52501183,[{'numLigne': '97'}]
CBOU,Couëron Bougon,47.22508102,-1.73386051,[{'numLigne': '91'}]
CBRD,Claude Bernard,47.223022,-1.61180052,"[{'numLigne': '59'}, {'numLigne': 'C3'}]"
CBSS,Cambronne,47.2065888,-1.50644117,"[{'numLigne': '152'}, {'numLigne': '162'}, {'numLigne': 'C9'}]"
CBTE,Choblèterie,47.13620786,-1.46153344,[{'numLigne': '47'}]
CCAN,Couchant,47.26838555,-1.59953772,"[{'numLigne': '109'}, {'numLigne': '179'}]"
CCDI,Cochardières,47.22994281,-1.63320361,"[{'numLigne': '50'}, {'numLigne': '93'}]"
